id,category
574,Crimes Against Property
575,Crimes Against Property
576,Crimes Against Property
577,Crimes Against Property
578,Crimes Against Property
579,Crimes Against Property
580,Crimes Against Property
581,Crimes Against Property
582,Crimes Against Property
583,Crimes Against Property
584,Crimes Against Property
585,Crimes Against Property
586,Crimes Against Property
587,Crimes Against Property
588,Crimes Against Property
589,Crimes Against Property
590,Crimes Against Property
591,Crimes Against Property
592,Crimes Against Property
593,Crimes Against Property
594,Crimes Against Property
595,Crimes Against Property
596,Crimes Against Property
597,Crimes Against Property
598,Crimes Against Property
599,Crimes Against Property
600,Crimes Against Property
601,Crimes Against Property
602,Crimes Against Property
603,Crimes Against Property
604,Crimes Against Property
605,Crimes Against Property
606,Crimes Against Property
607,Crimes Against Property
608,Criminal Code Traffic
609,Crimes Against Property
610,Crimes Against Property
611,Crimes Against Property
612,Criminal Code Traffic
613,Crimes Against Property
614,Crimes Against Property
615,Crimes Against Property
616,Crimes Against Property
617,Criminal Code Traffic
618,Crimes Against Property
619,Crimes Against Property
620,Crimes Against Property
621,Crimes Against Property
622,Crimes Against Property
623,Crimes Against Property
624,Criminal Code Traffic
625,Crimes Against Property
626,Crimes Against Property
627,Crimes Against Property
628,Crimes Against Property
629,Criminal Code Traffic
630,Crimes Against Property
631,Crimes Against Property
632,Crimes Against Property
633,Crimes Against Property
634,Criminal Code Traffic
635,Crimes Against Property
636,Crimes Against Property
637,Crimes Against Property
638,Crimes Against Property
639,Crimes Against Property
640,Crimes Against Property
641,Crimes Against Property
642,Crimes Against Property
643,Crimes Against Property
644,Crimes Against Property
645,Crimes Against Property
646,Crimes Against Property
647,Crimes Against Property
648,Crimes Against Property
649,Crimes Against Property
650,Crimes Against Property
651,Crimes Against Property
652,Crimes Against Property
653,Crimes Against Property
654,Crimes Against Property
655,Crimes Against Property
656,Crimes Against Property
657,Crimes Against Property
658,Crimes Against Property
659,Crimes Against Property
660,Crimes Against Property
661,Crimes Against Property
662,Crimes Against Property
663,Crimes Against Property
664,Crimes Against Property
665,Crimes Against Property
666,Crimes Against Property
667,Crimes Against Property
668,Crimes Against Property
669,Criminal Code Traffic
670,Crimes Against Property
671,Crimes Against Property
672,Crimes Against Property
673,Criminal Code Traffic
674,Crimes Against Property
675,Crimes Against Property
676,Crimes Against Property
677,Criminal Code Traffic
678,Crimes Against the Person
679,Crimes Against Property
680,Crimes Against Property
681,Crimes Against Property
682,Criminal Code Traffic
683,Crimes Against the Person
684,Crimes Against Property
685,Crimes Against Property
686,Other Criminal Code Violations
687,Crimes Against the Person
688,Crimes Against Property
689,Crimes Against Property
690,Other Criminal Code Violations
691,Crimes Against the Person
692,Crimes Against Property
693,Crimes Against Property
694,Other Criminal Code Violations
695,Crimes Against the Person
696,Crimes Against Property
697,Crimes Against Property
698,Other Criminal Code Violations
699,Crimes Against the Person
700,Crimes Against Property
701,Crimes Against Property
702,Other Criminal Code Violations
703,Crimes Against the Person
704,Crimes Against Property
705,Crimes Against Property
706,Other Criminal Code Violations
707,Crimes Against the Person
708,Crimes Against Property
709,Crimes Against Property
710,Other Criminal Code Violations
711,Crimes Against the Person
712,Crimes Against Property
713,Crimes Against Property
714,Other Criminal Code Violations
715,Crimes Against the Person
716,Crimes Against Property
717,Crimes Against Property
718,Other Criminal Code Violations
719,Crimes Against the Person
720,Crimes Against Property
721,Crimes Against Property
722,Other Criminal Code Violations
723,Crimes Against the Person
724,Crimes Against Property
725,Crimes Against Property
726,Other Criminal Code Violations
727,Crimes Against Property
728,Crimes Against the Person
729,Other Criminal Code Violations
730,Crimes Against Property
731,Crimes Against the Person
732,Other Criminal Code Violations
733,Crimes Against Property
734,Crimes Against Property
735,Crimes Against the Person
736,Other Criminal Code Violations
737,Crimes Against Property
738,Crimes Against Property
739,Crimes Against the Person
740,Other Criminal Code Violations
741,Crimes Against Property
742,Crimes Against Property
743,Crimes Against the Person
744,Other Criminal Code Violations
745,Crimes Against Property
746,Crimes Against Property
747,Crimes Against the Person
748,Other Criminal Code Violations
749,Crimes Against Property
750,Crimes Against Property
751,Crimes Against the Person
752,Other Criminal Code Violations
753,Crimes Against Property
754,Crimes Against Property
755,Crimes Against the Person
756,Other Criminal Code Violations
757,Crimes Against Property
758,Crimes Against Property
759,Crimes Against the Person
760,Other Criminal Code Violations
761,Crimes Against Property
762,Crimes Against Property
763,Crimes Against the Person
764,Other Criminal Code Violations
765,Crimes Against Property
766,Crimes Against Property
767,Crimes Against the Person
768,Other Criminal Code Violations
769,Crimes Against Property
770,Crimes Against Property
771,Crimes Against the Person
772,Other Criminal Code Violations
773,Other Criminal Code Violations
774,Other Criminal Code Violations
775,Other Criminal Code Violations
776,Other Federal Statute Violations
777,Other Federal Statute Violations
778,Other Federal Statute Violations
779,Other Federal Statute Violations
780,Other Federal Statute Violations
781,Other Federal Statute Violations
782,Other Federal Statute Violations
783,Other Federal Statute Violations
784,Other Federal Statute Violations
785,Other Federal Statute Violations
786,Crimes Against Property
787,Crimes Against Property
788,Crimes Against Property
789,Crimes Against Property
790,Crimes Against Property
791,Crimes Against Property
792,Crimes Against Property
793,Crimes Against Property
794,Crimes Against Property
795,Crimes Against Property
796,Crimes Against Property
797,Crimes Against Property
798,Crimes Against Property
799,Crimes Against the Person
800,Crimes Against the Person
801,Crimes Against the Person
802,Crimes Against the Person
803,Crimes Against the Person
804,Crimes Against the Person
805,Crimes Against the Person
806,Crimes Against the Person
807,Crimes Against the Person
808,Crimes Against the Person
809,Crimes Against the Person
810,Crimes Against the Person
811,Crimes Against the Person
812,Crimes Against the Person
813,Crimes Against the Person
814,Crimes Against the Person
815,Crimes Against the Person
816,Crimes Against the Person
817,Crimes Against the Person
818,Crimes Against the Person
819,Crimes Against the Person
820,Crimes Against the Person
821,Criminal Code Traffic
822,Criminal Code Traffic
823,Criminal Code Traffic
824,Crimes Against the Person
825,Criminal Code Traffic
826,Controlled Drugs and Substances Act
827,Crimes Against the Person
828,Criminal Code Traffic
829,Controlled Drugs and Substances Act
830,Crimes Against the Person
831,Criminal Code Traffic
832,Controlled Drugs and Substances Act
833,Crimes Against the Person
834,Criminal Code Traffic
835,Controlled Drugs and Substances Act
836,Crimes Against the Person
837,Criminal Code Traffic
838,Controlled Drugs and Substances Act
839,Crimes Against the Person
840,Criminal Code Traffic
841,Controlled Drugs and Substances Act
842,Crimes Against the Person
843,Criminal Code Traffic
844,Controlled Drugs and Substances Act
845,Crimes Against the Person
846,Criminal Code Traffic
847,Controlled Drugs and Substances Act
848,Crimes Against the Person
849,Criminal Code Traffic
850,Crimes Against Property
851,Crimes Against the Person
852,Criminal Code Traffic
853,Crimes Against Property
854,Crimes Against the Person
855,Criminal Code Traffic
856,Crimes Against Property
857,Crimes Against the Person
858,Criminal Code Traffic
859,Crimes Against Property
860,Crimes Against the Person
861,Other Criminal Code Violations
862,Crimes Against Property
863,Crimes Against Property
864,Crimes Against Property
865,Crimes Against Property
866,Crimes Against Property
867,Crimes Against Property
868,Crimes Against Property
869,Crimes Against Property
870,Crimes Against Property
871,Crimes Against Property
872,Crimes Against Property
873,Crimes Against Property
874,Crimes Against Property
875,Crimes Against Property
876,Crimes Against Property
877,Crimes Against Property
878,Crimes Against Property
879,Crimes Against Property
880,Crimes Against Property
881,Crimes Against Property
882,Crimes Against Property
883,Crimes Against Property
884,Crimes Against Property
885,Crimes Against Property
886,Crimes Against Property
887,Crimes Against Property
888,Crimes Against Property
889,Crimes Against Property
890,Crimes Against Property
891,Crimes Against Property
892,Crimes Against Property
893,Crimes Against Property
894,Crimes Against Property
895,Crimes Against Property
896,Crimes Against Property
897,Crimes Against Property
898,Crimes Against Property
899,Crimes Against Property
900,Crimes Against Property
901,Crimes Against Property
902,Crimes Against the Person
